ClusterTemp, Indicador 1, Indicador 2, Indicador 3, Indicador 4, Indicador 5, Indicador 6, Indicador 7, Indicador 8, Indicador 9, Indicador 10, Indicador 11, Indicador 12, Indicador 13, Indicador 14, Indicador 15, Indicador 16, Indicador 17, Indicador 18, Indicador 19, Indicador 20, Indicador 21, Indicador 22, Indicador 23, Indicador 24, Indicador 25, Indicador 26, Indicador 27, Indicador 28, Indicador 29, Indicador 30, Indicador 31, Indicador 32, Indicador 33, Indicador 34, Indicador 35, Indicador 36, Indicador 37, Indicador 38, Indicador 39, Indicador 40, Indicador 41, Indicador 42, Indicador 43, Indicador 44, Indicador 45, Indicador 46, Indicador 47, Indicador 48, Indicador 49, Indicador 50, Indicador 51, Indicador 52, Indicador 53, Indicador 54, Indicador 55, Indicador 56, Indicador 57, Indicador 58, Indicador 59
 7.4, 4, 1, 0, 6, 6, 3, 1, 0, 7, 5, 4, 0, 0, 3, 4, 2, 3, 1, 4, 1, 6, 0, 5, 7, 7, 2, 0, 1, 3, 3, 5, 0, 1, 7, 3, 7, 0, 2, 8, 7, 6, 6, 2, 8, 3, 1, 0, 3, 3, 5, 0, 2, 8, 2, 4, 2, 0, 3, 5
 7.5, 0, 1, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 1, 2, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 2, 1, 0, 0, 0, 0, 1
 7.6, 2, 1, 0, 0, 1, 8, 2, 3, 4, 1, 4, 0, 0, 3, 2, 1, 4, 0, 3, 5, 3, 0, 3, 5, 5, 1, 0, 3, 4, 5, 4, 0, 0, 6, 2, 4, 0, 0, 2, 5, 3, 2, 0, 2, 2, 0, 0, 3, 7, 5, 2, 0, 2, 8, 2, 1, 0, 1, 1
 7.7, 2, 1, 0, 2, 2, 2, 0, 1, 3, 3, 2, 0, 0, 3, 4, 2, 2, 0, 4, 2, 2, 0, 2, 1, 3, 2, 0, 0, 3, 2, 0, 0, 1, 3, 0, 1, 0, 2, 2, 3, 4, 0, 2, 0, 0, 4, 0, 0, 2, 2, 3, 2, 0, 6, 3, 3, 0, 1, 2
 7.8, 2, 1, 0, 5, 0, 2, 0, 0, 2, 2, 5, 0, 0, 1, 1, 3, 1, 0, 1, 0, 3, 0, 0, 4, 5, 1, 0, 0, 0, 1, 1, 0, 1, 6, 3, 0, 0, 0, 1, 3, 3, 0, 0, 1, 1, 1, 0, 1, 1, 3, 0, 0, 2, 5, 1, 2, 0, 2, 2
 7.9, 7, 0, 0, 3, 1, 5, 0, 0, 0, 0, 3, 0, 0, 2, 1, 1, 0, 2, 2, 1, 1, 0, 4, 1, 1, 0, 0, 1, 2, 4, 0, 0, 1, 2, 1, 0, 0, 1, 1, 1, 2, 0, 1, 2, 0, 0, 0, 3, 3, 3, 0, 1, 1, 1, 2, 0, 0, 1, 1
 8.0, 2, 0, 0, 3, 3, 1, 0, 1, 2, 3, 6, 0, 0, 0, 3, 2, 1, 3, 1, 1, 2, 0, 1, 6, 3, 1, 0, 2, 1, 2, 3, 0, 0, 4, 3, 3, 0, 1, 1, 7, 3, 0, 1, 6, 1, 2, 0, 0, 1, 4, 1, 1, 1, 3, 2, 2, 0, 1, 4
 8.1, 0, 2, 0, 1, 1, 1, 2, 0, 2, 0, 0, 0, 0, 1, 1, 0, 2, 0, 3, 2, 0, 0, 3, 1, 2, 1, 0, 0, 4, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 1, 0, 2, 2, 1, 0, 0, 1, 1, 0, 0, 1, 1, 3, 0, 0, 0, 1
 8.2, 3, 1, 0, 4, 3, 3, 1, 2, 2, 3, 4, 0, 0, 1, 3, 3, 2, 1, 3, 4, 3, 0, 5, 4, 3, 3, 0, 3, 2, 4, 1, 0, 1, 5, 1, 10, 0, 3, 1, 5, 3, 1, 1, 3, 5, 1, 0, 4, 0, 3, 0, 0, 5, 2, 6, 1, 0, 4, 3
 8.3, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 2, 3, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1
 8.4, 1, 2, 0, 3, 3, 2, 1, 0, 4, 1, 4, 0, 0, 4, 4, 2, 0, 1, 1, 2, 5, 0, 4, 1, 5, 2, 0, 1, 1, 2, 3, 0, 1, 3, 1, 0, 0, 0, 0, 4, 1, 1, 0, 6, 1, 1, 0, 1, 5, 0, 1, 0, 4, 1, 1, 3, 0, 3, 1
 8.5, 0, 2, 0, 3, 1, 2, 0, 1, 2, 2, 6, 0, 0, 0, 8, 2, 0, 0, 0, 3, 3, 0, 1, 1, 4, 1, 0, 2, 1, 2, 3, 0, 0, 3, 0, 2, 0, 1, 3, 2, 2, 0, 0, 3, 2, 0, 0, 1, 5, 5, 2, 1, 3, 1, 5, 0, 0, 3, 3
 8.6, 2, 0, 0, 1, 1, 1, 1, 0, 0, 2, 2, 0, 0, 0, 2, 1, 1, 0, 2, 0, 2, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 1, 2, 1, 2, 0, 0, 2, 3, 3, 1, 0, 2, 1, 0, 0, 3, 1, 0, 1, 0, 2, 0, 1, 1, 0, 0, 1
 8.7, 0, 1, 0, 2, 2, 2, 0, 4, 3, 2, 4, 0, 0, 2, 3, 3, 0, 1, 2, 1, 7, 0, 3, 7, 3, 4, 0, 3, 2, 5, 0, 0, 0, 8, 0, 1, 0, 3, 3, 1, 0, 0, 3, 4, 1, 2, 0, 1, 6, 2, 1, 1, 5, 3, 3, 1, 0, 4, 3
 8.8, 2, 0, 0, 4, 2, 1, 1, 2, 4, 1, 2, 0, 0, 1, 3, 2, 1, 2, 2, 3, 4, 0, 1, 3, 4, 1, 0, 3, 4, 7, 2, 0, 3, 4, 1, 4, 0, 2, 1, 6, 0, 0, 1, 1, 3, 5, 0, 3, 4, 0, 3, 3, 2, 3, 1, 0, 0, 2, 3
 8.9, 1, 1, 0, 0, 1, 3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 2, 1, 0, 1, 1, 0, 2, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0
 9.0, 3, 1, 0, 0, 2, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 3, 1, 0, 1, 0, 2, 0, 2, 1, 3, 2, 0, 0, 0, 5, 4, 0, 3, 4, 0, 1, 0, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 2, 1, 4, 2, 0, 2, 2
 9.1, 2, 0, 0, 2, 0, 3, 1, 1, 2, 1, 1, 0, 0, 1, 2, 2, 2, 0, 3, 1, 3, 0, 1, 0, 1, 3, 0, 0, 2, 4, 2, 0, 0, 1, 0, 0, 0, 0, 0, 5, 0, 3, 2, 0, 1, 1, 0, 1, 2, 1, 1, 0, 1, 1, 2, 1, 0, 4, 1
 9.2, 4, 2, 0, 0, 2, 2, 0, 3, 1, 2, 5, 0, 0, 0, 2, 4, 0, 0, 4, 4, 4, 0, 2, 1, 2, 0, 0, 2, 0, 2, 0, 0, 3, 4, 2, 3, 0, 0, 0, 2, 2, 0, 2, 2, 0, 0, 0, 0, 1, 1, 1, 4, 2, 0, 5, 0, 0, 1, 3
 9.3, 1, 3, 0, 2, 2, 4, 0, 3, 2, 4, 7, 0, 0, 2, 3, 3, 3, 0, 5, 4, 2, 0, 5, 3, 3, 3, 0, 0, 2, 2, 2, 0, 0, 5, 1, 2, 0, 0, 3, 3, 4, 1, 1, 5, 0, 2, 0, 3, 5, 3, 2, 2, 0, 2, 6, 2, 0, 3, 2
 9.4, 1, 1, 0, 2, 3, 5, 3, 4, 4, 1, 6, 0, 0, 1, 2, 4, 1, 5, 9, 3, 8, 0, 2, 2, 5, 6, 0, 1, 2, 5, 3, 0, 1, 3, 8, 4, 0, 4, 5, 7, 6, 1, 0, 4, 1, 2, 0, 1, 4, 0, 3, 0, 4, 3, 10, 2, 0, 4, 4
 9.5, 0, 0, 0, 0, 1, 0, 2, 0, 2, 0, 3, 0, 0, 0, 0, 2, 0, 1, 0, 1, 2, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 3
 9.6, 0, 3, 0, 0, 3, 3, 1, 0, 3, 0, 3, 0, 0, 3, 2, 1, 0, 0, 3, 2, 1, 0, 3, 3, 3, 3, 0, 0, 2, 2, 3, 0, 4, 0, 2, 4, 0, 1, 2, 5, 3, 1, 1, 4, 2, 2, 0, 3, 2, 3, 0, 1, 4, 1, 2, 1, 0, 2, 1
 9.7, 0, 3, 0, 0, 2, 3, 0, 0, 1, 2, 3, 0, 0, 2, 1, 1, 0, 0, 2, 1, 1, 0, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 1, 2, 3, 3, 0, 0, 1, 2, 2, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 0, 2, 3, 1, 0, 4, 3
 9.8, 1, 0, 0, 8, 4, 2, 2, 4, 6, 4, 2, 0, 0, 4, 6, 3, 2, 0, 5, 4, 2, 0, 4, 0, 1, 4, 0, 2, 4, 5, 4, 0, 2, 3, 2, 5, 0, 0, 3, 4, 2, 0, 0, 6, 1, 0, 0, 3, 4, 4, 1, 3, 0, 2, 3, 2, 0, 2, 5
 9.9, 0, 1, 0, 1, 1, 0, 3, 1, 0, 3, 2, 0, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 3, 3, 1, 0, 1, 2, 2, 1, 0, 1, 3, 2, 1, 0, 0, 2
 10.0, 0, 1, 0, 2, 4, 7, 0, 2, 5, 5, 4, 0, 0, 6, 5, 3, 2, 1, 3, 1, 8, 0, 0, 3, 5, 3, 0, 3, 4, 3, 5, 0, 3, 4, 3, 5, 0, 2, 4, 3, 2, 3, 2, 8, 4, 2, 0, 2, 3, 1, 2, 0, 3, 4, 1, 1, 0, 3, 3
 10.1, 1, 0, 0, 2, 1, 3, 0, 0, 4, 1, 0, 0, 0, 1, 1, 3, 0, 0, 2, 2, 1, 0, 0, 1, 0, 1, 0, 0, 0, 2, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 2, 0, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 3, 2, 0, 0, 0, 2
 10.2, 1, 3, 0, 2, 0, 2, 3, 3, 4, 8, 4, 0, 0, 1, 2, 3, 0, 2, 3, 4, 7, 0, 2, 1, 1, 3, 0, 1, 4, 4, 3, 0, 1, 4, 3, 8, 0, 1, 3, 8, 1, 0, 1, 3, 5, 1, 0, 1, 6, 1, 3, 2, 2, 7, 5, 2, 0, 2, 4
 10.3, 3, 2, 0, 0, 6, 1, 0, 0, 2, 3, 4, 0, 0, 3, 5, 1, 1, 1, 2, 2, 5, 0, 1, 2, 2, 0, 0, 2, 1, 3, 0, 0, 1, 4, 3, 0, 0, 1, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1, 3, 2, 1, 1, 2, 2, 0, 0, 2, 4
 10.4, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1, 0, 4, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 3, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2
 10.5, 5, 1, 0, 4, 7, 6, 2, 0, 6, 5, 8, 0, 0, 3, 3, 4, 0, 3, 6, 3, 5, 0, 5, 3, 3, 6, 0, 1, 2, 8, 5, 0, 5, 5, 11, 3, 0, 4, 4, 7, 1, 1, 2, 5, 5, 3, 0, 5, 7, 2, 4, 2, 7, 2, 3, 3, 0, 1, 1
 10.6, 1, 0, 0, 0, 6, 5, 0, 0, 2, 2, 1, 0, 0, 4, 3, 0, 1, 0, 1, 0, 4, 0, 2, 1, 2, 0, 0, 0, 1, 1, 2, 0, 1, 2, 1, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1, 2, 0, 0, 1, 0, 1, 3, 0, 0, 3, 1
 10.7, 3, 1, 0, 2, 3, 3, 0, 0, 2, 3, 2, 0, 0, 2, 1, 3, 1, 2, 1, 2, 1, 0, 1, 2, 2, 2, 0, 0, 3, 4, 3, 0, 2, 5, 1, 2, 0, 0, 3, 6, 1, 1, 0, 2, 1, 1, 0, 2, 1, 2, 3, 2, 2, 0, 3, 0, 0, 2, 5
 10.8, 1, 1, 0, 1, 3, 2, 1, 2, 5, 4, 0, 0, 0, 7, 4, 2, 0, 0, 1, 2, 3, 0, 4, 1, 4, 2, 0, 2, 0, 2, 1, 0, 6, 4, 5, 1, 0, 0, 3, 3, 1, 1, 0, 3, 1, 2, 0, 2, 4, 3, 2, 1, 0, 2, 3, 1, 0, 2, 1
 10.9, 2, 1, 0, 0, 0, 3, 0, 2, 1, 0, 7, 0, 0, 4, 0, 0, 1, 0, 4, 4, 3, 0, 2, 3, 2, 1, 0, 0, 2, 4, 3, 0, 0, 1, 2, 0, 0, 1, 2, 1, 3, 1, 0, 2, 1, 1, 0, 2, 3, 3, 0, 1, 1, 2, 1, 1, 0, 1, 1
 11.0, 4, 2, 0, 0, 1, 2, 0, 1, 4, 3, 2, 0, 0, 1, 4, 6, 2, 1, 7, 4, 3, 0, 4, 3, 3, 4, 0, 1, 3, 2, 1, 0, 1, 3, 1, 1, 0, 1, 2, 7, 2, 0, 3, 3, 6, 1, 0, 3, 4, 1, 0, 0, 2, 0, 7, 4, 0, 2, 4
 11.1, 2, 1, 0, 0, 3, 2, 1, 2, 3, 1, 2, 0, 0, 2, 6, 1, 0, 1, 3, 4, 2, 0, 1, 0, 2, 0, 0, 0, 3, 3, 1, 0, 1, 4, 0, 1, 0, 1, 0, 4, 1, 1, 1, 2, 2, 1, 0, 2, 2, 1, 0, 0, 2, 1, 0, 0, 0, 1, 3
 11.2, 2, 1, 0, 5, 1, 1, 0, 0, 3, 4, 4, 0, 0, 2, 3, 2, 0, 1, 5, 6, 3, 0, 3, 0, 4, 7, 0, 3, 4, 3, 4, 0, 0, 4, 6, 6, 0, 3, 2, 5, 4, 2, 2, 6, 3, 0, 0, 2, 4, 2, 4, 3, 1, 3, 1, 3, 0, 3, 3
 11.3, 1, 1, 0, 1, 1, 2, 1, 0, 2, 3, 4, 0, 0, 2, 9, 2, 1, 0, 2, 0, 5, 0, 2, 0, 2, 1, 0, 0, 3, 2, 1, 0, 0, 3, 2, 2, 0, 3, 1, 0, 2, 0, 0, 2, 1, 0, 0, 0, 2, 1, 0, 3, 3, 4, 1, 0, 0, 4, 5
 11.4, 0, 0, 0, 6, 0, 1, 1, 1, 2, 2, 1, 0, 0, 1, 2, 0, 1, 1, 1, 1, 2, 0, 1, 2, 3, 1, 0, 1, 3, 1, 2, 0, 0, 3, 0, 5, 0, 0, 1, 2, 1, 0, 2, 2, 1, 0, 0, 1, 3, 2, 1, 1, 1, 0, 0, 1, 0, 0, 3
 11.5, 2, 0, 0, 1, 3, 2, 0, 1, 2, 1, 1, 0, 0, 0, 2, 4, 0, 0, 3, 2, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 2, 2, 1, 0, 0, 1, 0, 0, 0, 4, 4, 2, 1, 1, 1, 1, 1, 1, 0, 3, 2
 11.6, 0, 1, 0, 1, 2, 3, 1, 0, 1, 2, 0, 0, 0, 0, 2, 3, 0, 0, 0, 1, 3, 0, 6, 1, 2, 0, 0, 0, 1, 0, 3, 0, 0, 1, 0, 1, 0, 0, 3, 1, 1, 1, 0, 7, 2, 0, 0, 0, 1, 2, 0, 0, 1, 0, 1, 0, 0, 2, 0
 11.7, 2, 1, 0, 2, 1, 4, 0, 2, 0, 1, 3, 0, 0, 1, 4, 1, 0, 2, 2, 0, 2, 0, 0, 3, 2, 1, 0, 2, 2, 3, 1, 0, 2, 4, 3, 5, 0, 1, 2, 7, 2, 1, 0, 5, 4, 0, 0, 2, 2, 2, 2, 1, 5, 1, 5, 0, 0, 3, 2
 11.8, 3, 0, 0, 1, 1, 3, 0, 2, 1, 1, 2, 0, 0, 2, 2, 1, 1, 3, 4, 2, 1, 0, 3, 2, 3, 3, 0, 2, 0, 3, 3, 0, 3, 3, 3, 0, 0, 1, 2, 3, 4, 1, 2, 4, 0, 0, 0, 0, 6, 0, 0, 1, 1, 2, 4, 0, 0, 2, 1
 11.9, 4, 2, 0, 4, 2, 4, 1, 1, 5, 2, 5, 0, 0, 2, 1, 4, 0, 3, 1, 3, 4, 0, 3, 2, 0, 1, 0, 1, 2, 6, 1, 0, 0, 3, 0, 2, 0, 1, 1, 8, 1, 1, 1, 0, 2, 0, 0, 3, 1, 6, 0, 0, 1, 2, 1, 0, 0, 0, 4
 12.0, 1, 1, 0, 4, 6, 7, 0, 0, 2, 1, 2, 0, 0, 2, 5, 0, 0, 0, 2, 2, 1, 0, 2, 3, 4, 3, 0, 0, 1, 2, 4, 0, 1, 2, 4, 1, 0, 3, 2, 3, 2, 2, 3, 4, 5, 1, 0, 4, 2, 2, 1, 1, 0, 0, 4, 1, 0, 2, 5
 12.1, 2, 2, 0, 1, 1, 5, 3, 2, 3, 3, 6, 0, 0, 1, 3, 0, 3, 4, 2, 4, 5, 0, 4, 2, 3, 3, 0, 0, 1, 2, 2, 0, 0, 7, 2, 7, 0, 1, 1, 3, 2, 0, 4, 4, 2, 3, 0, 5, 2, 3, 3, 0, 3, 1, 6, 0, 0, 1, 2
 12.2, 0, 1, 0, 2, 5, 3, 1, 0, 3, 0, 1, 0, 0, 2, 1, 1, 0, 0, 4, 5, 5, 0, 1, 7, 2, 2, 0, 1, 1, 1, 0, 0, 2, 4, 5, 1, 0, 0, 3, 7, 1, 0, 5, 5, 1, 2, 0, 1, 2, 1, 1, 0, 1, 5, 1, 0, 0, 1, 3
 12.3, 3, 1, 0, 2, 1, 1, 2, 0, 0, 2, 0, 0, 0, 1, 2, 1, 0, 0, 4, 0, 1, 0, 2, 1, 2, 2, 0, 1, 0, 3, 2, 0, 1, 2, 4, 1, 0, 1, 1, 1, 4, 0, 0, 1, 3, 0, 0, 0, 2, 1, 1, 1, 0, 0, 4, 1, 0, 1, 1
 12.4, 3, 1, 0, 5, 1, 8, 0, 0, 4, 1, 1, 0, 0, 2, 4, 2, 0, 1, 1, 3, 4, 0, 2, 0, 1, 2, 0, 1, 1, 0, 1, 0, 3, 4, 1, 3, 0, 1, 1, 1, 1, 0, 0, 5, 1, 0, 0, 1, 3, 1, 1, 1, 4, 2, 4, 2, 0, 2, 4
 12.5, 2, 2, 0, 2, 3, 9, 2, 0, 3, 2, 4, 0, 0, 2, 3, 3, 0, 2, 4, 3, 2, 0, 2, 4, 4, 3, 0, 0, 3, 2, 4, 0, 0, 6, 3, 3, 0, 2, 4, 6, 5, 1, 0, 2, 3, 3, 0, 6, 11, 4, 3, 3, 7, 4, 5, 1, 0, 5, 2
 12.6, 2, 0, 0, 0, 0, 3, 0, 0, 2, 2, 3, 0, 0, 1, 3, 0, 0, 0, 2, 1, 0, 0, 2, 2, 2, 1, 0, 0, 0, 2, 1, 0, 0, 1, 3, 0, 0, 1, 1, 1, 0, 0, 0, 2, 0, 1, 0, 2, 1, 2, 1, 1, 1, 0, 3, 0, 0, 2, 2
 12.7, 1, 0, 0, 0, 2, 2, 0, 0, 2, 1, 3, 0, 0, 1, 2, 1, 0, 0, 2, 1, 1, 0, 0, 1, 2, 2, 0, 0, 2, 6, 1, 0, 1, 2, 0, 1, 0, 4, 0, 3, 1, 0, 1, 4, 0, 3, 0, 3, 1, 1, 3, 2, 0, 2, 2, 0, 0, 1, 2
 12.8, 4, 0, 0, 3, 2, 2, 0, 0, 1, 2, 2, 0, 0, 2, 3, 2, 1, 1, 3, 0, 2, 0, 2, 0, 4, 0, 0, 0, 5, 2, 4, 0, 2, 4, 2, 6, 0, 2, 3, 3, 2, 0, 0, 7, 0, 1, 0, 1, 1, 1, 2, 1, 6, 0, 0, 1, 0, 3, 1
 12.9, 1, 3, 0, 2, 1, 0, 1, 1, 5, 1, 1, 0, 0, 4, 3, 4, 1, 1, 2, 1, 5, 0, 4, 3, 1, 1, 0, 0, 1, 2, 1, 0, 0, 0, 2, 3, 0, 0, 4, 2, 0, 0, 0, 4, 1, 1, 0, 0, 0, 1, 3, 0, 2, 0, 0, 1, 0, 3, 2
 13.0, 0, 1, 0, 3, 4, 0, 1, 1, 2, 2, 1, 0, 0, 0, 5, 1, 1, 0, 2, 3, 1, 0, 4, 4, 0, 1, 0, 0, 2, 2, 1, 0, 0, 2, 0, 1, 0, 0, 3, 3, 0, 0, 0, 2, 2, 0, 0, 2, 0, 2, 1, 0, 1, 1, 0, 0, 0, 1, 1
 13.1, 4, 0, 0, 2, 3, 2, 1, 1, 2, 3, 2, 0, 0, 3, 2, 2, 2, 1, 2, 1, 2, 0, 2, 3, 2, 1, 0, 3, 2, 1, 4, 0, 1, 2, 2, 3, 0, 1, 1, 1, 3, 0, 2, 5, 4, 2, 0, 2, 5, 4, 0, 0, 0, 1, 3, 0, 0, 2, 3
 13.2, 5, 2, 0, 3, 4, 9, 2, 4, 5, 7, 5, 0, 0, 3, 7, 4, 0, 2, 8, 6, 4, 0, 5, 5, 9, 2, 0, 1, 4, 7, 5, 0, 4, 7, 7, 2, 0, 0, 4, 4, 2, 1, 3, 7, 2, 4, 0, 4, 10, 6, 1, 6, 2, 4, 7, 0, 0, 6, 4
 13.3, 1, 2, 0, 2, 2, 3, 1, 1, 3, 3, 3, 0, 0, 1, 3, 3, 1, 1, 3, 5, 5, 0, 3, 3, 2, 1, 0, 0, 0, 5, 1, 0, 1, 6, 2, 3, 0, 1, 6, 3, 2, 1, 1, 4, 5, 3, 0, 1, 5, 4, 4, 0, 1, 3, 3, 1, 0, 4, 2
 13.4, 0, 2, 0, 1, 0, 6, 0, 2, 3, 3, 5, 0, 0, 1, 2, 3, 0, 0, 3, 2, 2, 0, 2, 2, 2, 1, 0, 0, 2, 3, 0, 0, 0, 2, 5, 1, 0, 0, 1, 1, 3, 0, 1, 2, 0, 0, 0, 0, 5, 1, 0, 0, 1, 1, 2, 0, 0, 0, 2
 13.5, 3, 2, 0, 2, 3, 0, 0, 1, 3, 2, 4, 0, 0, 2, 2, 5, 0, 3, 7, 1, 3, 0, 1, 2, 3, 3, 0, 2, 6, 4, 3, 0, 1, 1, 6, 1, 0, 2, 3, 3, 3, 0, 1, 1, 2, 1, 0, 2, 6, 7, 2, 0, 1, 4, 4, 1, 0, 3, 3
 13.6, 1, 0, 0, 0, 0, 3, 1, 0, 2, 0, 5, 0, 0, 1, 3, 2, 1, 1, 1, 1, 1, 0, 1, 2, 5, 1, 0, 3, 3, 1, 2, 0, 1, 2, 0, 0, 0, 1, 0, 1, 1, 0, 1, 2, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 4, 3
 13.7, 2, 1, 0, 1, 2, 3, 1, 1, 4, 3, 4, 0, 0, 1, 2, 1, 0, 0, 1, 0, 1, 0, 2, 4, 2, 0, 0, 0, 0, 3, 1, 0, 0, 4, 4, 0, 0, 1, 3, 1, 3, 0, 0, 0, 4, 1, 0, 0, 0, 1, 0, 1, 0, 3, 2, 1, 0, 3, 2
 13.8, 0, 0, 0, 0, 1, 0, 1, 1, 5, 1, 2, 0, 0, 3, 0, 1, 1, 0, 2, 3, 1, 0, 1, 0, 2, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 2, 0, 1, 0, 2, 0, 1, 2, 1, 1, 2, 0, 1, 2, 2, 0, 1, 3, 2, 3, 0, 0, 1, 1
 13.9, 0, 0, 0, 1, 1, 0, 0, 2, 3, 1, 2, 0, 0, 0, 2, 2, 1, 1, 4, 1, 3, 0, 2, 1, 1, 2, 0, 1, 1, 2, 1, 0, 3, 0, 0, 3, 0, 1, 1, 3, 0, 0, 1, 0, 1, 1, 0, 1, 1, 2, 0, 1, 2, 0, 2, 0, 0, 4, 1
 14.0, 1, 1, 0, 8, 2, 3, 0, 3, 4, 2, 4, 0, 0, 2, 4, 2, 1, 1, 6, 2, 7, 0, 2, 1, 3, 6, 0, 0, 1, 3, 2, 0, 0, 6, 1, 2, 0, 2, 1, 4, 2, 2, 3, 4, 1, 2, 0, 6, 3, 6, 2, 1, 3, 5, 0, 0, 0, 2, 4
 14.1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0, 0, 2, 3, 0, 0, 0, 2, 1, 2, 0, 2, 1, 1, 2, 0, 0, 1, 2, 1, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 1, 1, 1, 0, 1, 1
 14.2, 1, 0, 0, 3, 1, 3, 1, 2, 2, 3, 4, 0, 0, 2, 5, 3, 0, 3, 7, 1, 4, 0, 1, 0, 2, 3, 0, 1, 0, 2, 1, 0, 0, 4, 0, 3, 0, 2, 1, 1, 3, 0, 0, 1, 1, 1, 0, 1, 4, 4, 1, 0, 2, 1, 3, 1, 0, 3, 3
 14.3, 4, 0, 0, 1, 4, 10, 2, 0, 4, 3, 6, 0, 0, 2, 3, 4, 1, 1, 3, 0, 3, 0, 0, 2, 2, 5, 0, 1, 3, 3, 5, 0, 2, 4, 6, 7, 0, 3, 3, 3, 2, 1, 1, 4, 2, 1, 0, 2, 4, 1, 1, 1, 2, 1, 3, 1, 0, 3, 2
 14.4, 1, 0, 0, 0, 1, 2, 1, 0, 5, 2, 2, 0, 0, 1, 0, 0, 0, 1, 3, 1, 4, 0, 0, 0, 6, 4, 0, 1, 1, 2, 0, 0, 1, 4, 1, 2, 0, 1, 3, 2, 2, 0, 2, 2, 1, 1, 0, 0, 3, 3, 0, 2, 2, 1, 2, 2, 0, 1, 1
 14.5, 4, 1, 0, 5, 5, 6, 2, 4, 1, 1, 5, 0, 0, 2, 2, 3, 3, 1, 5, 5, 6, 0, 2, 4, 1, 3, 0, 4, 1, 3, 1, 0, 2, 6, 6, 5, 0, 2, 0, 6, 2, 1, 0, 2, 6, 2, 0, 7, 4, 3, 1, 2, 2, 5, 4, 1, 0, 1, 3
 14.6, 1, 1, 0, 3, 5, 1, 1, 1, 0, 0, 1, 0, 0, 0, 2, 3, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 2, 0, 1, 3, 0, 1, 0, 1, 4, 1, 2, 1, 1, 3, 2, 0, 0, 0, 4, 2, 1, 0, 1, 1, 2, 1, 0, 2, 1
 14.7, 3, 5, 0, 2, 3, 4, 0, 2, 6, 4, 6, 0, 0, 4, 7, 4, 0, 4, 2, 3, 6, 0, 6, 6, 3, 1, 0, 2, 3, 8, 4, 0, 0, 9, 2, 7, 0, 0, 4, 6, 4, 2, 1, 3, 2, 3, 0, 2, 9, 3, 0, 3, 2, 3, 3, 1, 0, 6, 13
